seed,query,total_reward,recommendations,clicks,click_ratio,epsilon,datetime,loss
0,SK이노베이션,2.7980000000000005,36,2,0.05555555555555555,0.7940753492934954,2025-06-12T20:24:00.561642,8.235321998596191
0,SK이노베이션,1.6130000000000002,42,1,0.023809523809523808,0.7901049725470279,2025-06-12T20:24:00.587963,5.934982776641846
0,SK이노베이션,1.7450000000000003,48,1,0.020833333333333332,0.7861544476842928,2025-06-12T20:24:00.613954,13.90334701538086
0,SK이노베이션,0.6,54,0,0.0,0.7822236754458713,2025-06-12T20:24:00.639853,11.749763488769531
0,SK이노베이션,1.7780000000000005,60,1,0.016666666666666666,0.778312557068642,2025-06-12T20:24:00.665118,5.4674882888793945
0,SK이노베이션,1.6710000000000003,6,1,0.16666666666666666,0.7744209942832988,2025-06-12T20:24:00.693555,5.577315330505371
0,SK이노베이션,1.5840000000000005,12,1,0.08333333333333333,0.7705488893118823,2025-06-12T20:24:00.718976,10.344947814941406
0,SK이노베이션,3.8180000000000005,18,3,0.16666666666666666,0.7666961448653229,2025-06-12T20:24:00.744461,7.929038047790527
0,SK이노베이션,3.8430000000000004,24,3,0.125,0.7628626641409962,2025-06-12T20:24:00.770389,13.537032127380371
0,SK이노베이션,1.7510000000000001,30,1,0.03333333333333333,0.7590483508202912,2025-06-12T20:24:00.797242,8.564784049987793
0,SK이노베이션,1.7670000000000003,36,1,0.027777777777777776,0.7552531090661897,2025-06-12T20:24:00.822509,9.366720199584961
0,SK이노베이션,2.736,42,2,0.047619047619047616,0.7514768435208588,2025-06-12T20:24:00.849626,26.25092124938965
0,SK이노베이션,0.6,48,0,0.0,0.7477194593032545,2025-06-12T20:24:00.875295,12.881645202636719
0,SK이노베이션,1.5700000000000003,54,1,0.018518518518518517,0.7439808620067382,2025-06-12T20:24:00.901574,6.501473426818848
0,SK이노베이션,3.8810000000000007,60,3,0.05,0.7402609576967045,2025-06-12T20:24:00.929295,13.744660377502441
0,SK이노베이션,2.5460000000000003,6,2,0.3333333333333333,0.736559652908221,2025-06-12T20:24:00.954008,27.473718643188477
0,SK이노베이션,1.6280000000000006,12,1,0.08333333333333333,0.7328768546436799,2025-06-12T20:24:00.979347,13.088276863098145
0,SK이노베이션,1.6250000000000004,18,1,0.05555555555555555,0.7292124703704616,2025-06-12T20:24:01.005664,22.370559692382812
0,SK이노베이션,3.9070000000000005,24,3,0.125,0.7255664080186093,2025-06-12T20:24:01.030618,14.789133071899414
0,SK이노베이션,1.7880000000000003,30,1,0.03333333333333333,0.7219385759785162,2025-06-12T20:24:01.055780,10.811294555664062
